Dia;Mes;Ano;Clasificacion;Asunto ;Descripcion;Gasto;Ingreso
22;Septiembre;2016;Transporte;Renfe;Ida Carcaixent-Valencia;2.95  ;0
22;Septiembre;2016;Gastos;Comida;paquete de papas para el viaje;2.25  ;0
23;Septiembre;2016;Ocio;Comida/Cena;Quedada de clase Informaticos;20.75  ;0
23;Septiembre;2016;Ocio;Discoteca;Quedada de clase Informaticos;10.00  ;0
27;Septiembre;2016;Gastos;Cerrageria ;Copia de llave Casa Sstella;1.50  ;0
4;Octubre;2016;Salario;Ingreso Mensual;Pension de David;0;500.00  
4;Octubre;2016;Gastos;Mercadona;queso galletas y mantequilla;8.47  ;0
4;Octubre;2016;Banco;Universidad EHU;??????????;25.98  ;0
7;Octubre;2016;Gastos;Translado;3 bultos de 24. 16 y 12 Kg;78.00  ;78.00  
8;Octubre;2016;Ocio;Comida/Cena;Cumple Amiga Sstella;15.00  ;0
8;Octubre;2016;Ocio;Discoteca;Cumple Amiga Sstella;10.00  ;0
11;Octubre;2016;Ocio;Comida/Cena;Fiestas Pueblo Barakaldo;4.00  ;0
18;Octubre;2016;Ocio;Comida/Cena;Cena con Sstella;6.20  ;0
19;Octubre;2016;Gastos;Fotocopias;Fotocopia practica de Fundamentos;0.05  ;0
25;Octubre;2016;Gastos;Peluqueria ;Corte y vaciado de pelo;13.00  ;0
25;Octubre;2016;Ocio;BurguerKing;Patatas y helado;5.85  ;0
26;Octubre;2016;Ocio;kebap;pincho moruno y patatas;10.10  ;0
28;Octubre;2016;Ocio;BarUni;Menu Hamburguesa completa;5.50  ;0
28;Octubre;2016;Caprichos;Steam;Mount and Blade Warband + DLC`s;15.27  ;0
28;Octubre;2016;Ocio;Cena Halloween;perrito caliente y patatas;5.00  ;0
1;Noviembre;2016;Salario;Pension de David;Ingreso Mensual;0;300.00  
5;Noviembre;2016;Ocio;BarUni;Menu Hamburguesa completa;5.50  ;0
10;Noviembre;2016;Gastos;Mercadona;cepillo de dientes y desodorante ;7.60  ;0
11;Noviembre;2016;Ocio;BarUni;Menu Hamburguesa completa;5.50  ;0
15;Noviembre;2016;Gastos;Mercadona;Accesorios varios ;13.00  ;0
17;Noviembre;2016;Ocio;Kebap;Kebap mixto;4.50  ;0
18;Noviembre;2016;Ocio;BarUni;Menu Hamburguesa completa;5.50  ;0
24;Noviembre;2016;Estudios;EHU;Matricula ;1.62  ;0
24;Noviembre;2016;Ocio;Kebap;pedrata;5.00  ;0
25;Noviembre;2016;Ocio;BarUni;Menu Hamburguesa completa;5.50  ;0
25;Noviembre;2016;Caprichos;CoC;Oferta BlackDay;9.99  ;10.00  
27;Noviembre;2016;Ocio;Comida/Cena;Cena del dia de la caminata;10.50  ;0
30;Noviembre;2016;Caprichos;Steam;DLC TWWH - Elfos Silvanos;15.75  ;0
1;Diciembre;2016;Salario;Pension de David;Ingreso Mensual;0;300.00  
1;Diciembre;2016;Ocio;Comida/Cena;come y veve de dominos pizza;13.90  ;0
2;Diciembre;2016;Ocio;BarUni;Bocata Bikingo;3.60  ;0
5;Diciembre;2016;Gastos;Ropa;2 polares 1 pijama 1 camisa termica ;45.00  ;0
5;Diciembre;2016;Ocio;Comida/Cena;Partida futbolín ;1.00  ;0
8;Diciembre;2016;Transporte;Bus;Ida vuelta bosque ohma;5.00  ;0
